tidak_baku,baku
abud,anies
ad,ada
aj,saja
aja,saja
ajah,saja
akhi,mas
aktifitas,aktivitas
alesan,alasan
ama,sama
ane,saya
angcat,bangsat
anu,kelamin
apus,hapus
asbun,asal bunyi
aseng,asing
astagah,astaga
astajim,astaga
astoge,astaga
ato,atau
ayang,sayang
babe,bapak
babeh,bapak
bangke,bangkai
bata,tidak suka
batabig,tidak suka
beer,keren
bejimane,bagaimana
belom,belum
bener,benar
benerin,betulkan
bet,betul
bgsat,bangsat
bgst,bangsat
bgt,banget
bibib,habib
bijimana,bagaimana
bijimane,bagaimana
bikin,buat
bikinan,buatan
bingungs,bingung
bini,istri
bleh,boleh
blh,boleh
blm,belum
blom,belum
bole,boleh
boneng,benar
bray,kakak
bre,kakak
breh,kakak
brrt,berarti
brrti,berarti
bs,bisa
bubarin,bubarkan
byk,banyak
cebong,pendukung jokowi
cendol,suka
cm,cuma
congor,mulut
cool,keren
cuan,uang
dah,sudah
dapet,dapat
demen,suka
denger,dengar
detil,detail
dg,dengan
dgn,dengan
dlu,dulu
doi,dia
dongs,dong
donk,dong
dr,dari
duid,uang
dulu,dahulu
edit,sunting
elo,kamu
elu,kamu
emang,memang
emangnya,memangnya
embel,tambahan
emg,memang
en,dan
ena,enak
engga,tidak
enih,nih
entar,nanti
ente,kamu
fee,gaji
fidiyo,video
fikir,pikir
fribumi,pribumi
fulang,pulang
ga,tidak
gabener,gubernur
gak,tidak
gan,juragan
gede,besar
gegar,ribut
gile,gila
gimana,bagaimana
gini,begini
goblog,goblok
gtu,begitu
gua,saya
gub,gubernur
gue,saya
gw,saya
hadeh,aduh
hoax,bohong
hrs,harus
idup,hidup
ijin,izin
ilang,hilang
indon,Indonesia
inget,ingat
iy,iya
jd,jadi
jdi,jadi
jekardah,jakarta
jg,juga
jgn,jangan
jing,anjing
jink,anjing
jkt,jakarta
joko,jokowi
jokotaek,jokowi
jt,juta
kagak,tidak
kalee,kali
kalo,kalau
kampret,pendukung prabowo
katro,kampungan
kayak,seperti
keingat,teringat
keknya,sepertinya
kemaren,kemarin
ketebak,ditebak
kimpoi,kawin
kl,kalau
klpun,kalaupun
knp,kenapa
komuk,muka
koq,kok
kq,kok
kren,keren
krn,karena
kuy,yuk
ky,seperti
kyk,seperti
kzl,kesal
laen,lain
lastcar,laskar
lbh,lebih
lbih,lebih
lehuga,boleh juga
lgsg,langsung
liat,lihat
loe,kamu
lom,belum
lu,kamu
lucknut,laknat
ma,sama
mads,marah
maen,main
maho,homo
malus,malu
manggil,memanggil
mantul,mantap betul
matabelo,terbelalak
mbuludak,meluap
medsos,media sosial
megatron,megawati
menangin,memenangkan
mindahin,memindahkan
misua,suami
mkanya,makanya
mkn,makan
mknya,makanya
mlulu,melulu
mn,mana
mo,mau
modyar,mati
moga,semoga
mpu,empu
msh,masih
msk,masuk
mualap,mualaf
muke,muka
mulangin,memulangkan
mulustrasi,ilustrasi
n,dan
najes,najis
nangis,menangis
nasbung,pasukan nasi bungkus
nastak,pasukan nasi kotak
nda,tidak
ngacir,kabur
ngakak,tertawa
ngakaks,tertawa
ngaku,mengaku
ngangeni,merindukan
ngapaen,untuk apa
ngapain,untuk apa
ngasih,memberi
ngedenger,mendengar
ngeluarin,mengeluarkan
ngemeng,bicara
ngerasa,merasa
ngerasain,merasakan
ngerti,paham
ngga,tidak
nggak,tidak
ngibrit,lari
ngibul,bohong
njeplak,asal
nohope,tidak berharap
norak,kampungan
ntah,entah
ntar,sebentar
nth,entah
ntr,sebentar
nyadar,sadar
nyalahin,menyalahkan
nyambung,menyambung
nyampe,sampai
nyanyik,nyanyi
nyebarin,menyebarkan
nyebut,menyebut
nyelup,tercelup
nyimak,menyimak
nyindir,menyindir
nyinggung,menyinggung
nyinyir,meyindir
nyusahin,menyusahkan
ojol,ojek daring
onta,unta
org,orang
otong,kelamin
owi,jokowi
owo,prabowo
pake,pakai
pd,pada
pdhal,padahal
pdhl,padahal
pengen,ingin
pengkolan,persimpangan
penies,anies
pertamax,pertama
pgn,ingin
pindahin,memindahkan
pingin,ingin
pk,pakai
plokis,polisi
pndah,pindah
posesip,posesif
propinsi,provinsi
rame,ramai
rejeki,rezeki
resiko,risiko
rizik,riziq
sampe,sampai
santuy,santai
sape,siapa
sebenernya,sebenarnya
sebutin,sebutkan
segede,sebesar
sekrang,sekarang
seneng,senang
separo,separuh
sewot,kesal
shakehand,setuju
shakehand2,setuju
silit,pantat
sjw,social justice warrior
skali,sekali
skarang,sekarang
skrg,sekarang
sm,sama
sodara,saudara
sokap,siapa
sono,sana
spa,siapa
sprt,seperti
sprti,seperti
standar,standard
sumpahi,sumpah
survey,survei
sy,saya
tangkep,tangkap
tangkepin,menangkap
tau,tahu
tauk,tahu
taxol,taksi daring
telpon,telepon
tetep,tetap
thread,utas
tmn,teman
tp,tapi
trit,utas
trus,terus
truz,terus
ts,penulis
ttg,tentang
tu,itu
tuch,itu
tuh,itu
tulung,tolong
uda,sudah
udah,sudah
ude,sudah
udeh,sudah
udh,sudah
utang,hutang
utk,untuk
vangke,bangkai
varokah,berkah
vroh,kakak
wadaw,aduh
waduh,aduh
wakaka,lucu
wan abud,anies
warbyasa,luar biasa
woles,santai
wowo,prabowo
yg,yang
